index	u_check
0	1.6722992613612306
1	-1.1520953475076385
2	-1.2351825827057483
3	-0.2885035031677543
4	0.36920157289926436
5	0.43059848657804506
6	0.18864360890565945
7	-0.02480316949907202
8	-0.0890245579500391
9	-0.052383641576975316
10	-0.0007812574431825675
11	0.021550489733584144
12	0.016620045538680323
13	0.003705843480792506
14	-0.0039070355616860775
15	-0.004320374934108467
16	-0.0015605541855284702
17	0.0006237459494981405
18	0.0011022074214585174
19	0.0005625648332771814
20	-3.1363928404773704e-05
21	-0.00025046041799473495
22	-0.00017099262808745218
23	-2.3761285331546996e-05
24	5.2173939116466155e-05
25	4.815984059619943e-05
26	1.4301033358402054e-05
27	-9.017917794329297e-06
28	-1.2437705134020794e-05
29	-5.485089228027568e-06
30	1.0199673464235702e-06
31	2.981859067971871e-06
32	1.781738563683441e-06
33	1.0044169668012868e-07
34	-6.498690774505642e-07
35	-5.191190164200916e-07
36	-1.1800736165218392e-07
37	1.2412428351772824e-07
38	1.393579088287529e-07
39	5.216383114678574e-08
40	-1.8224839536797804e-08
41	-3.4613328560342416e-08
42	-1.8074770105206754e-08
43	7.604670772835755e-10
44	7.905657964702638e-09
45	5.511369629640196e-09
46	8.448446168152674e-10
47	-1.6177261478688423e-09
48	-1.5342898417608417e-09
49	-4.721140288571874e-10
50	2.759533926963323e-10
51	3.9502554555578543e-10
52	1.7867854916012074e-10
53	-2.898858627763939e-11
54	-9.395415897525414e-11
55	-5.7388838094716946e-11
56	-4.067963119768113e-12
57	2.0327448510842793e-11
58	1.6618453414915642e-11
59	3.973796758942254e-12
60	-3.828014934287632e-12
61	-4.4331192350820904e-12
62	-1.708029076432088e-12
63	5.441108510348363e-13
64	1.0947050731094814e-12
65	5.848101188022779e-13
66	-1.4334687616800266e-14
67	-2.4821398698709606e-13
68	-1.7691160268447414e-13
69	-2.9372109380257346e-14
70	5.027108462437637e-14
71	4.894650911684048e-14
72	1.560516901861089e-14
73	-8.402702707124528e-15
74	-1.2527915837641187e-14
75	-5.808380194033106e-15
76	8.15039824775214e-16
77	2.960504868854497e-15
78	1.8483238593378713e-15
79	1.5763232917925643e-16
80	-6.350895329020886e-16
81	-5.31618170128499e-16
82	-1.3328773819226117e-16
83	1.1791663745125886e-16
84	1.4097794248153528e-16
85	5.586899311923797e-17
86	-1.616077814796317e-17
87	-3.460227730693452e-17
88	-1.8906901684521866e-17
89	1.4259527446503023e-19
90	7.78854964324649e-18
91	5.676043776684668e-18
92	1.0135629411501727e-18
93	-1.5604924307210159e-18
94	-1.5607486224712577e-18
95	-5.148676834260464e-19
96	2.552224041729276e-19
97	3.9713370636815603e-19
98	1.8865328245171653e-19
99	-2.250297494725961e-20
